watershed_group_code,length_km_total,length_km_accessible15,length_km_accessible15_structureless,length_km_accessible20,length_km_accessible20_structureless,length_km_accessible30,length_km_accessible30_structureless,stream_km_accessible15,stream_km_accessible15_structureless,stream_km_accessible20,stream_km_accessible20_structureless,stream_km_accessible30,stream_km_accessible30_structureless,lake_reservoir_area_ha_total,lake_reservoir_area_ha_accessible15,lake_reservoir_area_ha_accessible15_structureless,lake_reservoir_area_ha_accessible20,lake_reservoir_area_ha_accessible20_structureless,lake_reservoir_area_ha_accessible30,lake_reservoir_area_ha_accessible30_structureless,wetland_area_ha_total,wetland_area_ha_accessible15,wetland_area_ha_accessible15_structureless,wetland_area_ha_accessible20,wetland_area_ha_accessible20_structureless,wetland_area_ha_accessible30,wetland_area_ha_accessible30_structureless,n_pscis_all,n_pscis_gt2010,n_pscis_gt2010_accessible_15,n_pscis_gt2010_accessible_20,n_pscis_gt2010_accessible_30,n_modelled_culverts_total,n_modelled_culverts_accessible15,n_modelled_culverts_accessible20,n_modelled_culverts_accessible30
FRAN,11836.6,7627.4,1867.9,8928.1,2040.9,10427.5,2280.3,5215.7,854.2,6411.2,1008.2,7777.9,1218.4,53688.2,52234.2,37231.3,52697.1,37372.6,53015.5,37433.4,17296.6,13336.6,3660.6,13998.5,3718.2,14881.5,3899.9,13,3,13,13,13,6819,4460,5406,6264
FRCN,10481.3,876.9,645.3,1113.6,786.2,1940.5,973.5,843.1,644.3,1063.1,768.9,1870.9,949.4,2396.3,774.0,475.2,777.4,475.2,824.9,475.3,552.9,245.5,164.4,246.8,165.7,312.8,166.8,92,1,9,22,65,5594,281,480,1294
GLAR,5223.9,2706.9,2541.8,3278.1,3041.4,4128.5,3803.2,1803.4,1673.0,2344.9,2145.9,3144.1,2857.4,14475.3,13749.8,13482.9,13833.8,13551.7,14114.6,13828.4,6092.8,5360.0,5172.8,5514.9,5317.2,5703.1,5505.4,0,0,0,0,0,49,24,37,42
GOLD,6109.3,903.0,656.1,1178.4,754.5,1826.6,980.0,828.3,601.4,1081.1,690.5,1697.2,904.7,3603.6,1744.4,1636.4,1889.8,1640.3,2121.0,1707.1,636.6,308.3,239.0,332.0,243.8,398.0,248.7,99,99,54,75,86,5020,480,852,1746
GRAI,13607.1,6367.5,4657.3,7326.0,5241.1,8624.9,6029.8,5701.4,4135.6,6610.8,4683.5,7858.8,5433.5,8868.0,6698.7,6187.3,6830.5,6238.3,7023.6,6360.1,48519.4,22896.1,17377.3,24271.9,18498.0,25292.2,19249.1,249,25,182,199,210,3548,1446,1957,2650
GUIC,2561.9,1117.8,113.3,1510.5,117.8,2097.5,136.2,914.7,73.6,1284.5,78.0,1802.2,95.6,1567.0,815.6,214.5,900.8,214.5,1305.9,216.9,2154.3,1400.6,290.7,1508.1,290.7,1786.0,291.7,10,1,9,9,10,2446,1025,1351,1978
HARR,6168.6,1188.9,1026.3,1326.0,1091.1,1733.1,1257.9,632.4,488.4,753.9,545.7,1146.6,704.7,24716.6,23151.3,22977.8,23248.1,22978.0,23369.7,23031.9,362.0,165.5,122.1,189.9,124.3,225.5,136.4,236,236,122,146,175,3978,358,501,971
HERR,5433.2,984.3,776.0,1659.2,1279.2,2633.8,1930.6,994.0,798.8,1596.2,1233.0,2496.8,1822.6,1017.0,166.6,160.3,249.3,241.4,397.5,299.3,1262.5,531.7,446.2,670.0,562.2,965.3,819.4,15,3,8,13,15,1044,331,554,866
HOLB,2900.8,1264.3,464.9,1580.9,537.3,2047.4,666.4,1168.8,447.2,1473.4,517.5,1928.8,641.0,835.7,633.2,62.2,729.4,68.1,792.8,113.5,779.8,617.5,230.2,649.4,237.8,710.2,249.4,220,220,186,198,207,2791,974,1297,1822
HOMA,14608.5,1463.7,1121.7,1759.4,1321.3,2559.9,1839.7,1358.3,1073.6,1614.0,1238.8,2335.7,1688.6,7933.9,5895.0,5284.4,5957.1,5312.7,6079.2,5326.7,2512.3,1840.2,1218.1,1885.3,1248.4,1911.2,1258.3,8,0,4,7,8,1500,433,538,753
HORS,4475.5,1975.7,1020.3,2356.5,1095.0,2991.6,1275.8,1311.8,617.9,1645.3,685.7,2245.0,855.0,12978.4,11941.4,10533.1,12325.3,10575.2,12418.0,10602.0,6720.6,4674.3,1871.2,4922.9,1887.2,5115.4,1924.9,960,957,492,630,859,2313,956,1278,1782
INKR,12904.0,1309.4,1306.8,1760.3,1757.4,2766.6,2762.8,1187.4,1186.4,1565.5,1564.3,2502.6,2500.5,1825.1,498.3,496.8,614.6,613.2,706.6,705.1,5915.3,4167.7,4154.1,4568.7,4555.0,4883.3,4869.7,0,0,0,0,0,8,2,4,5
JENR,4566.0,2285.1,2285.1,2860.0,2860.0,3488.5,3488.5,1969.5,1969.5,2514.9,2514.9,3122.9,3122.9,4098.2,3209.9,3209.9,3461.8,3461.8,3611.9,3611.9,2706.4,2355.4,2355.4,2377.9,2377.9,2455.3,2455.3,0,0,0,0,0,0,0,0,0
JERV,8693.9,615.9,214.3,903.2,291.1,1563.3,469.5,514.4,214.6,776.7,285.7,1365.4,454.4,12914.9,3280.9,781.4,3592.8,822.3,4708.8,1686.4,1213.2,487.8,224.9,567.8,226.0,713.1,250.1,205,180,86,142,174,4913,432,720,1319
KEEC,2538.6,1455.5,1451.8,1774.7,1767.4,2162.2,2154.8,906.7,903.6,1172.5,1166.5,1513.9,1507.7,5003.9,3893.6,3891.7,4170.4,4162.6,4481.4,4473.6,237.9,156.5,156.5,166.0,166.0,185.8,185.8,0,0,0,0,0,2,2,2,2
KETL,14100.9,2642.0,985.0,4158.7,1077.6,8153.1,1427.7,2438.4,931.6,3888.8,1022.7,7705.8,1352.4,4228.4,3102.5,2688.4,3241.6,2688.6,3778.5,2694.0,3847.0,1101.5,100.0,1483.6,104.1,2606.2,376.5,741,558,273,382,618,12415,1595,3012,7393
KHOR,11251.5,1872.2,0,2354.5,0,3365.8,0,1618.9,623.7,2073.8,623.7,3021.6,623.7,4468.4,2347.5,0,2413.1,0,2566.2,0,5592.3,3816.9,0,3951.7,0,4081.7,0,50,7,33,35,45,4009,863,1277,2102
KHTZ,8206.0,421.5,402.7,625.6,572.4,1464.5,1271.8,400.5,385.1,580.4,535.9,1280.5,1108.6,8647.4,472.6,461.8,647.7,589.0,2324.4,2092.9,1220.9,433.6,403.5,527.0,472.5,798.5,684.2,0,0,0,0,0,659,26,62,256
KINR,5195.9,961.0,825.5,1323.8,1067.3,2086.5,1606.4,746.5,631.8,1033.8,822.6,1664.7,1257.3,6604.5,4038.7,3949.0,4130.3,3993.3,4462.2,4136.8,3249.2,1573.8,1483.5,2190.6,1968.4,2801.3,2467.8,8,0,5,7,7,496,143,223,356
KISP,11082.8,2819.5,1648.0,3634.2,2013.7,5484.0,2777.8,2415.3,1395.8,3164.7,1734.7,4932.7,2455.1,5586.3,4511.1,3791.0,4716.1,3843.6,5014.4,3983.9,4928.6,2799.6,1722.4,3353.1,1860.5,3832.7,2105.2,19,8,11,13,17,2794,831,1130,1864
KITL,10976.2,1136.9,1121.5,1395.3,1371.3,2096.3,2016.8,981.1,966.8,1198.7,1175.8,1855.9,1783.0,4538.4,2313.5,2311.3,2631.0,2628.8,2771.7,2765.7,1310.8,1096.3,1089.5,1114.0,1107.1,1166.1,1159.3,0,0,0,0,0,151,35,56,90
KITR,10307.2,1378.1,1035.1,1756.4,1350.4,2518.4,1879.3,1269.8,974.3,1609.0,1252.4,2345.4,1759.2,3562.7,1542.1,1505.8,1638.5,1587.3,1801.5,1724.6,3249.4,2509.0,1623.5,2652.5,1763.4,2701.5,1805.2,7,7,4,6,6,1809,428,556,860
KLIN,13596.5,2119.6,803.4,2603.0,1032.8,3822.7,1685.8,1757.9,834.5,2190.0,1040.7,3293.3,1643.2,5638.4,3215.7,1353.8,3426.2,1452.9,4166.1,1663.8,5133.1,3494.8,990.1,3679.2,1037.7,3978.5,1136.2,0,0,0,0,0,1478,509,630,906
KLUM,10436.9,1558.7,1169.6,1863.3,1339.0,2586.9,1774.9,1428.8,1096.8,1717.3,1259.9,2399.0,1665.5,3281.1,2320.2,2161.9,2327.8,2163.3,2371.6,2168.0,3574.6,2934.1,2603.4,3030.7,2608.2,3084.4,2625.0,70,70,43,52,63,2480,447,614,984
KNIG,13626.3,1311.6,844.2,1766.3,1087.5,2738.3,1576.2,1136.2,774.7,1542.4,989.6,2469.7,1461.2,8437.1,4455.3,2265.0,4836.5,2434.6,5042.5,2471.4,1458.0,825.2,574.6,910.8,608.6,1002.4,628.7,0,0,0,0,0,4525,565,935,1714
KOTL,15093.3,2997.9,4.2,3668.4,4.2,5269.7,4.3,2284.4,362.1,2943.2,362.1,4525.4,362.2,46765.7,45146.4,0,45209.6,0,45247.2,0,4059.9,1975.9,0,2014.4,0,2118.2,0,394,211,190,225,311,7867,1288,1938,3554
KOTR,13911.4,1877.1,0,2416.5,0,3565.1,0,1733.6,438.1,2263.8,438.1,3402.8,438.1,1588.1,1043.9,0,1047.5,0,1081.7,0,1062.5,832.7,0,894.0,0,915.7,0,356,349,173,226,318,4042,663,1121,1997
KSHR,8871.4,523.2,491.2,730.1,687.4,1290.3,1099.8,546.7,517.3,732.1,692.1,1218.0,1075.9,1929.6,249.0,247.6,395.0,393.4,839.5,504.0,856.6,346.6,344.1,368.4,365.9,476.1,413.9,0,0,0,0,0,200,54,69,102
KTSU,2631.6,1826.7,1826.7,2049.6,2049.6,2233.0,2226.8,1289.4,1289.4,1463.3,1463.3,1621.7,1616.1,4081.6,3142.6,3142.6,3369.4,3369.4,3527.7,3525.8,116.6,73.2,73.2,76.6,76.6,81.8,81.8,0,0,0,0,0,13,0,0,6
KUMR,7913.2,2322.4,2311.0,2954.2,2906.3,3957.4,3875.1,1225.1,1215.6,1739.2,1704.9,2648.2,2582.1,18460.2,12781.0,12748.0,14131.7,13826.8,15088.9,14762.6,821.3,380.0,374.8,449.0,440.3,496.0,484.4,0,0,0,0,0,223,32,87,134
LARL,12260.1,1402.3,184.0,2004.9,224.2,3740.3,263.7,1001.6,306.3,1573.8,344.9,3262.2,384.3,21821.1,19453.7,5.2,19516.3,6.8,19616.5,6.9,1170.8,350.2,115.7,557.8,123.8,779.1,123.8,414,245,128,179,279,8075,622,1171,2749
LBIR,8190.5,1105.2,919.8,1474.7,1151.4,2225.2,1655.2,885.4,735.0,1231.7,950.1,1941.5,1424.2,4523.4,4220.5,4191.7,4273.5,4222.9,4326.4,4258.6,2427.9,1830.3,1482.5,1998.6,1626.7,2116.6,1681.9,1,0,0,0,0,597,149,245,403
LCHL,5775.1,4703.4,689.6,5042.9,726.1,5340.2,776.0,3815.3,614.9,4134.2,646.5,4410.5,691.9,6111.5,5110.3,441.8,5159.6,447.0,5211.3,459.7,8671.8,6862.0,729.0,6980.6,763.0,7133.3,789.1,1,1,1,1,1,4638,3642,4041,4332
LCHR,6554.6,1042.2,317.8,1232.6,371.2,2521.1,482.8,788.4,292.9,960.4,344.7,1912.5,454.3,11668.6,830.8,26.4,888.8,26.4,3018.8,225.5,18992.8,3692.8,653.5,3893.5,661.0,7938.5,661.0,7,7,5,5,7,3281,528,692,1365
LDEN,8107.7,990.2,859.5,3319.0,3111.0,4475.5,4245.4,818.8,728.2,2443.0,2294.2,3452.5,3282.4,10978.6,1034.0,969.8,8365.2,8078.1,9538.7,9251.2,10656.2,2418.0,1769.5,7394.0,6502.4,7921.5,7023.3,0,0,0,0,0,171,83,106,130
LFRA,8506.7,2851.1,895.6,3053.7,925.9,3412.8,1035.0,2426.0,880.1,2621.7,909.8,2967.7,1012.1,18120.6,13506.5,5677.7,13537.4,5677.7,13741.9,5828.7,4907.3,4056.3,1054.7,4058.9,1054.7,4073.2,1055.1,467,467,315,358,407,4634,2646,2827,3075
LILL,12181.3,1003.1,710.3,1268.1,870.0,1858.9,1129.1,977.5,755.1,1210.9,893.8,1763.9,1130.1,7139.0,4657.2,4255.7,4685.3,4283.2,4798.3,4312.4,2281.2,897.9,411.8,1011.4,422.7,1120.6,490.0,196,196,126,144,172,2836,346,484,899
LISR,6293.8,679.5,679.5,768.1,768.1,1012.1,1012.1,668.0,668.0,741.7,741.7,955.4,955.4,863.8,140.0,140.0,224.6,224.6,249.0,249.0,1483.6,1351.3,1351.3,1390.6,1390.6,1414.7,1414.7,0,0,0,0,0,2,1,1,1
LKEL,1115.4,329.6,229.3,380.9,260.3,458.6,295.3,248.6,167.6,298.9,198.0,374.9,232.6,1575.4,1428.1,1384.8,1434.0,1384.8,1435.5,1385.0,1537.2,1349.4,1279.8,1352.9,1283.3,1369.6,1289.6,2,0,2,2,2,338,140,165,219
LNAR,12565.4,1902.9,1597.9,2330.4,1844.9,3347.7,2445.5,1783.0,1526.6,2149.7,1735.9,3090.1,2292.5,3640.2,1300.0,1067.7,1540.4,1152.2,1811.6,1212.8,6957.1,4153.9,3493.5,4364.5,3648.4,4658.5,3780.7,0,0,0,0,0,1424,334,454,681
LNIC,7300.0,1660.3,627.9,2580.9,688.4,3893.3,835.8,1447.4,550.4,2279.8,607.3,3538.1,748.4,5538.9,3180.3,2536.5,3718.9,2548.8,3931.8,2593.7,2341.2,1155.8,203.2,1480.0,208.6,1680.8,231.5,98,98,75,90,96,6047,1346,2356,3622
LNRS,4574.2,113.8,19.4,115.9,19.7,136.8,22.6,85.7,15.2,87.8,15.5,107.4,18.3,23989.7,274.6,18.9,274.6,18.9,274.6,18.9,9547.0,128.6,9.9,128.6,9.9,144.3,10.7,25,7,0,0,0,1596,41,42,56
LNTH,9262.8,1354.5,672.2,2223.2,689.7,4049.1,762.0,1180.9,589.3,1925.0,605.4,3534.5,675.1,9086.5,2733.6,2132.8,4587.7,2134.7,6096.2,2137.6,4527.2,823.0,297.8,1206.5,303.6,2134.5,322.3,78,54,30,36,44,8413,1018,1927,3904
LRDO,5529.7,872.7,858.7,1227.7,1208.7,2393.2,2334.0,474.4,464.0,726.1,710.9,1567.5,1515.8,14908.0,6289.4,6247.0,7360.1,7317.2,12334.8,12243.9,681.8,341.6,337.5,406.5,402.5,521.5,515.5,0,0,0,0,0,201,25,31,97
LSAL,3174.8,2971.3,731.7,3038.1,748.1,3079.1,767.4,2155.6,556.9,2218.7,571.9,2257.0,590.2,6273.8,5583.8,962.0,5588.6,962.0,5602.8,962.8,8619.1,7712.8,1489.6,7734.5,1505.0,7753.9,1515.9,34,2,26,28,32,2212,2063,2135,2163
LSKE,12272.7,2004.6,1766.0,2372.6,2069.8,3072.4,2577.5,1761.3,1561.2,2055.5,1799.2,2711.5,2268.3,6445.0,2565.5,2499.3,3038.9,2916.6,3433.8,3276.1,4617.4,3548.7,3238.8,3681.2,3366.8,3782.3,3459.5,92,0,67,76,85,1293,314,393,579
LSTR,7553.5,1100.8,1100.8,1191.6,1190.4,1437.9,1425.9,950.6,950.6,1032.0,1030.8,1258.5,1246.7,3149.7,2135.7,2135.7,2138.0,2138.0,2311.9,2311.9,4103.5,3494.3,3494.3,3522.1,3522.1,3568.0,3567.3,0,0,0,0,0,39,0,1,7
LTRE,3078.9,2707.4,972.7,2883.7,988.6,3017.0,1004.2,1669.4,475.6,1830.5,490.4,1956.3,503.6,11246.5,10973.1,9408.1,11129.6,9408.1,11165.2,9411.9,12363.4,11868.8,6363.0,11925.2,6370.0,11959.6,6384.6,129,125,125,129,129,1312,1104,1218,1288
MAHD,6394.3,121.9,113.5,141.4,124.5,3787.3,897.6,95.0,86.6,111.8,94.8,2799.6,544.0,19111.8,3301.5,3301.5,3329.7,3329.7,17683.3,12519.1,6528.9,9.4,9.4,9.4,9.4,4075.3,830.6,50,8,0,0,47,3657,12,19,2362
MBNK,1307.0,879.9,861.0,966.5,946.5,1081.5,1059.5,491.6,480.1,561.3,548.7,661.6,647.1,3186.3,2757.4,2711.6,2828.8,2782.7,2903.4,2857.3,228.3,184.7,184.7,191.3,191.3,192.8,192.8,0,0,0,0,0,28,17,17,19
MCGR,7421.2,2807.4,1666.5,3284.5,1850.2,4280.9,2342.0,2462.8,1494.8,2918.7,1674.2,3881.2,2148.7,2161.8,1246.6,881.2,1317.4,885.6,1477.7,969.6,5367.2,3954.8,2543.1,4037.2,2553.3,4196.0,2652.9,726,661,431,540,658,2610,1296,1629,2135
MESC,5747.0,648.0,636.1,923.3,905.3,2161.7,2117.1,593.5,584.5,852.6,837.4,1949.4,1908.8,1038.1,304.9,304.4,426.8,426.4,767.5,764.4,4315.6,1898.1,1867.2,2032.5,2001.6,3269.9,3231.5,0,0,0,0,0,134,15,26,58
MFRA,2540.2,226.0,101.1,414.1,149.0,1071.9,247.4,197.4,106.3,350.2,151.9,907.6,248.7,4358.3,275.4,0,501.6,0.5,1027.3,0.5,3317.3,184.4,0,558.9,0,1423.5,0,0,0,0,0,0,1578,143,256,726
MIDR,3517.7,2329.1,1097.8,2635.0,1182.3,3026.1,1304.8,1638.1,648.2,1925.9,730.6,2300.3,847.4,12586.8,12282.6,9807.9,12386.7,9809.8,12467.1,9835.7,3876.0,3230.0,1744.5,3325.4,1755.5,3407.9,1796.0,165,164,142,145,149,1237,806,977,1114
MORI,8285.6,1824.9,1185.6,2452.8,1622.4,3395.3,2270.3,1664.2,1068.4,2257.2,1470.9,3172.8,2094.6,4910.3,2667.7,1762.0,3178.2,2271.6,3505.2,2571.4,542.7,360.8,248.3,410.7,293.8,447.3,313.4,172,27,100,118,152,2267,654,893,1329
MORK,17887.9,5437.2,2388.2,6777.8,3019.7,8860.7,3688.8,4961.3,2241.8,6193.7,2802.6,8217.7,3458.9,2998.8,1942.5,1001.8,2089.2,1017.5,2233.1,1076.5,10858.3,8398.5,4864.2,8817.4,4990.1,9221.3,5022.0,50,37,47,50,50,5800,2995,3594,4498
MORR,9033.1,3552.7,2571.4,4382.9,3029.5,5760.4,3931.0,2557.0,1757.5,3322.2,2182.8,4609.0,3033.7,18852.1,17886.4,16186.9,18128.6,16284.9,18483.2,16519.9,9350.1,7226.1,5425.1,7578.7,5555.3,7995.3,5699.2,4,4,2,3,3,1632,947,1226,1476
MSKE,10990.4,1515.0,1453.5,1993.9,1876.5,3431.0,3189.7,1410.7,1356.5,1862.9,1755.7,3192.9,2964.7,1872.8,814.4,803.5,855.7,839.0,1256.7,1234.1,2747.9,1289.4,1243.8,1466.9,1409.3,1884.8,1811.0,12,3,0,0,3,410,33,50,113
MSTR,14103.1,3624.7,2750.9,5097.1,3786.6,8126.9,6125.8,3271.4,2522.5,4648.1,3497.6,7465.2,5664.0,3943.4,2118.6,1182.5,2414.8,1329.9,3054.2,1781.5,9574.0,3333.6,2346.7,4155.0,3009.6,5925.5,4562.6,0,0,0,0,0,549,181,292,440
MURT,5260.4,120.6,120.6,123.9,123.9,237.8,237.8,148.7,148.7,151.3,151.3,237.1,237.1,15449.9,3169.5,3169.5,3173.4,3173.4,3173.9,3173.9,4128.7,94.9,94.9,94.9,94.9,168.8,168.8,0,0,0,0,0,24,0,0,0
MUSK,2048.3,1948.4,656.8,2018.9,676.7,2038.2,683.5,1320.0,399.5,1389.2,419.2,1408.2,425.9,4397.9,4352.1,1224.0,4352.1,1224.0,4352.1,1224.0,4972.4,4501.9,2167.0,4511.4,2167.4,4514.3,2168.1,3,0,3,3,3,1265,1168,1244,1263
NAHR,7957.6,4332.3,4332.3,5313.5,5313.5,6557.9,6557.9,3343.8,3343.8,4234.9,4234.9,5279.3,5279.3,7607.9,5411.1,5411.1,5700.0,5700.0,6777.5,6777.5,18713.4,9775.6,9775.6,10539.6,10539.6,13131.0,13131.0,0,0,0,0,0,0,0,0,0
NAKR,9701.7,2053.4,2051.2,2727.0,2705.6,4314.0,4279.2,1659.8,1657.7,2289.0,2268.6,3735.2,3703.0,4570.6,2310.9,2310.9,2416.0,2415.4,2973.8,2971.7,5167.1,3410.3,3410.3,3681.4,3676.4,4309.1,4292.7,0,0,0,0,0,34,7,11,15
NARC,5764.4,2758.5,337.0,3262.1,357.3,3893.7,389.2,2071.0,320.9,2476.9,339.4,3046.6,369.8,4798.3,2014.5,16.5,2591.7,22.6,2724.6,26.2,13438.1,7288.5,148.7,8139.8,158.7,8603.9,165.8,10,1,4,6,6,4168,1677,2130,2825
NASC,10302.9,955.9,753.7,1731.0,1440.8,2784.9,2162.2,815.7,702.3,1199.2,1022.3,2063.8,1683.1,16578.1,3561.3,1861.8,9024.1,6742.0,12391.9,7387.2,849.7,247.0,172.1,477.8,395.4,569.9,475.1,0,0,0,0,0,984,63,138,373
NASR,6661.6,1588.1,894.9,2172.2,1119.5,3273.3,1661.0,1171.1,693.1,1634.1,875.2,2554.2,1336.9,6436.0,3123.6,1894.0,3897.6,2107.9,4885.8,2587.9,4172.8,2090.7,766.8,2373.4,898.7,3043.2,1106.9,42,11,8,23,25,1221,267,445,691
NAZR,6092.9,3633.5,1027.3,4137.1,1158.7,4695.2,1276.9,2384.9,628.3,2797.8,728.8,3228.2,829.0,6071.3,3628.1,1084.3,3774.6,1196.3,4095.6,1222.2,22855.0,14563.3,5297.5,15652.2,5699.5,16855.2,5844.7,14,9,10,10,10,2521,1410,1651,1924
NBNK,567.9,371.9,371.9,428.1,428.1,465.0,465.0,217.0,217.0,257.3,257.3,288.9,288.9,1418.6,848.0,848.0,944.1,944.1,971.1,971.1,312.2,216.4,216.4,232.9,232.9,232.9,232.9,0,0,0,0,0,0,0,0,0
NECL,7403.0,1405.5,1367.9,1930.0,1854.8,2815.8,2601.0,984.3,952.2,1402.4,1335.2,2170.0,1967.4,8265.6,5144.7,5108.9,6020.3,5957.2,6599.1,6526.8,231.1,111.7,110.0,126.6,124.9,168.4,153.6,0,0,0,0,0,505,40,81,226
NECR,8049.8,6349.1,1205.9,7333.7,1471.7,7685.1,1538.8,4940.1,880.1,5706.5,1057.3,6033.2,1117.7,11665.3,10248.9,6697.5,11073.3,6997.9,11112.2,7015.8,16291.8,12868.5,2616.5,14953.4,3498.1,15107.8,3545.3,39,7,30,37,38,5890,4822,5463,5743
NEVI,2814.7,1308.1,641.8,1679.0,771.0,2295.6,1017.9,1104.9,533.7,1434.9,650.6,1995.0,876.3,2180.9,1690.1,932.7,1854.6,966.7,2049.9,1031.0,1513.7,887.6,412.5,1030.1,482.7,1256.2,566.6,83,83,48,64,80,1061,454,610,818
NICL,4398.2,1622.8,203.3,2500.2,229.2,3682.2,252.6,1348.2,178.5,2090.7,204.1,3082.2,227.1,5410.7,2224.7,660.2,3652.8,660.2,4688.8,661.5,3957.7,1695.2,36.4,2270.0,37.7,3350.7,38.9,22,7,16,22,22,2947,1240,1811,2638
NIEL,8989.6,1325.1,1193.4,1722.2,1526.8,2830.2,2308.7,946.0,835.7,1247.1,1075.5,2197.9,1724.4,9232.5,4585.4,4289.5,5556.2,5251.8,7268.9,6541.0,904.5,488.4,431.8,520.1,458.6,695.4,551.7,0,0,0,0,0,1634,186,292,771
NIMP,5068.8,1456.5,686.4,1681.5,732.9,2127.3,814.5,1122.4,487.7,1337.7,532.4,1766.8,611.0,8869.9,8087.4,6899.7,8099.1,6901.3,8228.2,6907.6,1262.9,923.2,300.5,982.4,302.0,1028.6,310.0,43,43,21,25,34,4610,992,1297,1959
OKAN,11481.0,1914.7,813.3,3112.3,956.1,5717.7,994.1,1155.9,197.4,2197.7,295.4,4639.2,332.9,47666.5,43048.5,38762.5,44012.4,38765.8,44865.5,38765.8,3456.5,510.1,165.9,1149.5,236.3,2086.0,236.3,174,91,32,60,136,11664,1468,2634,5533
OWIK,18810.3,1592.7,1384.5,2333.0,1970.7,3466.4,2692.6,1321.5,1203.2,1850.5,1609.8,2842.0,2218.7,18678.5,13620.6,11378.3,14148.0,11804.1,14386.4,11997.4,1742.4,1066.2,985.1,1306.7,1212.7,1393.9,1238.6,34,0,27,29,31,2128,290,488,826
PARK,2204.3,577.2,122.9,711.8,137.5,1121.2,170.6,541.9,129.2,671.6,143.0,1037.5,173.7,2380.9,470.5,3.1,487.0,6.2,1407.8,12.7,796.6,231.8,74.3,282.5,76.4,398.6,90.8,0,0,0,0,0,2539,710,879,1319
PORI,1572.7,816.1,758.0,1039.0,965.9,1255.1,1148.4,661.0,609.2,861.0,794.4,1064.6,965.1,1160.5,918.2,880.9,1035.5,997.4,1088.1,1044.4,310.0,217.9,193.0,219.4,194.5,229.5,204.6,0,0,0,0,0,176,50,64,108
QUES,12482.8,5676.9,3323.0,6326.9,3460.6,7477.3,3838.3,2265.1,630.8,2857.5,761.5,3922.6,1121.7,39916.4,36705.6,30593.5,36996.7,30627.2,37397.9,30773.9,9200.2,5566.8,588.4,5946.8,611.4,6620.2,682.1,4,0,0,0,0,4096,1837,2356,3052
REVL,10858.5,918.1,0,1235.7,0,1718.9,0,696.7,373.1,948.1,373.1,1414.3,373.1,12765.5,11401.1,0,11423.2,0,11440.9,0,1373.7,688.4,0,867.4,0,887.7,0,302,302,61,119,198,2382,107,262,609
SAJR,2346.1,1486.4,19.4,1664.3,20.0,1741.5,20.9,916.3,21.6,1047.8,22.2,1117.9,23.1,9995.3,6619.1,700.5,7111.6,700.5,7163.0,700.5,11376.9,5278.4,0,5524.9,0,5574.5,0,0,0,0,0,0,1974,1300,1540,1671
SALM,3658.3,1007.0,449.2,1404.3,552.7,1956.2,664.1,853.5,421.8,1175.7,495.8,1697.3,605.9,4630.0,1707.1,345.9,3203.4,1083.7,3392.7,1087.7,1067.0,580.9,179.0,666.0,185.9,715.9,186.9,307,300,121,172,244,3380,600,999,1734
SALR,3384.4,3079.6,1346.8,3234.5,1404.9,3313.8,1439.2,2011.7,771.8,2150.5,816.7,2225.7,848.4,8283.1,8041.5,5024.3,8055.0,5033.0,8071.0,5046.8,11443.1,10387.2,5485.4,10498.3,5576.7,10527.3,5599.0,56,52,56,56,56,1297,1169,1244,1275
SANJ,7275.6,1520.9,903.6,2101.1,1124.6,3422.3,1506.0,1400.6,846.6,1969.2,1065.7,3238.9,1418.9,5121.9,4281.5,3448.9,4405.6,3488.2,4593.5,3559.7,655.8,317.6,139.8,351.7,140.7,446.9,142.0,214,139,111,146,190,8580,882,1457,3148
SETN,26020.2,1534.4,545.3,1958.7,641.5,3629.9,917.3,1167.6,491.1,1571.0,578.7,3164.9,845.2,16519.0,11011.3,5539.2,11067.5,5539.2,11392.6,5566.9,2206.1,672.7,48.7,718.7,48.7,1079.7,71.5,43,10,14,22,37,8203,376,609,1755
SEYM,8298.8,1227.8,796.6,1814.0,1190.4,2752.6,1737.7,908.7,643.9,1335.6,915.7,2146.4,1378.8,12037.1,6512.0,3854.8,7984.4,4800.7,8898.8,5174.3,1580.0,705.0,531.7,839.2,632.0,905.9,672.8,0,0,0,0,0,2763,463,834,1592
SHER,9718.1,1209.0,1208.9,1787.5,1783.4,3298.1,3283.6,934.9,934.8,1443.1,1439.1,2796.8,2782.5,5226.1,3103.5,3103.5,3278.3,3278.0,4113.2,4112.6,6008.5,2979.4,2979.4,3239.8,3239.8,4351.2,4351.2,0,0,0,0,0,46,3,7,18
SHUL,7257.3,1240.0,900.2,1553.4,1003.6,2109.8,1109.5,691.9,383.3,991.7,482.2,1527.1,584.0,35952.6,34058.8,33269.6,34117.2,33273.4,34179.3,33276.8,2185.0,819.8,711.9,914.1,730.6,1027.7,734.2,261,19,65,97,167,3410,449,710,1150
SKGT,3066.4,282.1,187.8,356.0,212.5,650.2,349.9,236.5,154.2,309.9,178.5,600.5,314.5,404.8,305.0,296.7,305.0,296.7,316.5,303.9,495.8,432.2,327.3,432.2,327.3,443.8,327.3,0,0,0,0,0,670,116,147,301
SLOC,7499.4,734.5,0,870.6,0,1339.0,0,580.9,164.8,715.2,164.8,1163.0,164.8,8997.0,7609.7,0,7616.4,0,7918.2,0,553.7,326.8,0,326.8,0,353.4,0,248,248,120,150,199,3496,356,503,960
